origin,target,distance
3174074,3174517,8.7
3174074,3174518,5.1
3174074,3174525,14.2
3174074,3174529,9.7
3174074,3174522,6.9
3174074,3174063,14.2
3174074,3174041,9.3
3174074,3174431,4.8
3174074,3174515,9.5
3174074,3174519,5.8
3174074,3174026,16.8
3174074,3174527,10.8
3174074,3174351,11.4
3174074,3174510,11.2
3174074,3174530,12.8
3174074,3174260,14
3174074,3174516,10.8
3174074,3174497,11
3174074,3174030,13.6
3174074,3174052,6.9
3174074,3174420,13
3174074,3174416,14.7
3174074,3174508,6.1
3174074,3174486,9.3
3174074,3174015,10.7
3174517,3174074,11.4
3174517,3174518,10
3174517,3174525,16.2
3174517,3174529,4.3
3174517,3174522,12.9
3174517,3174063,9.4
3174517,3174041,10.5
3174517,3174431,8.7
3174517,3174515,4.2
3174517,3174519,11
3174517,3174026,12
3174517,3174527,6.4
3174517,3174351,4.8
3174517,3174510,6.2
3174517,3174530,14
3174517,3174260,9.1
3174517,3174516,12
3174517,3174497,5.8
3174517,3174030,11
3174517,3174052,5.8
3174517,3174420,8.1
3174517,3174416,9.4
3174517,3174508,2.9
3174517,3174486,10.3
3174517,3174015,11.9
3174518,3174074,7.2
3174518,3174517,17.8
3174518,3174525,20
3174518,3174529,11
3174518,3174522,4
3174518,3174063,16.4
3174518,3174041,10.6
3174518,3174431,1.2
3174518,3174515,11.2
3174518,3174519,1.2
3174518,3174026,16
3174518,3174527,12.2
3174518,3174351,12.8
3174518,3174510,12.6
3174518,3174530,14.2
3174518,3174260,13
3174518,3174516,12.2
3174518,3174497,10.5
3174518,3174030,18.1
3174518,3174052,8.3
3174518,3174420,14.4
3174518,3174416,20.6
3174518,3174508,9.7
3174518,3174486,10.6
3174518,3174015,12.1
3174525,3174074,13.5
3174525,3174517,14.5
3174525,3174518,15
3174525,3174529,12.1
3174525,3174522,21.5
3174525,3174063,8.7
3174525,3174041,6.4
3174525,3174431,13.8
3174525,3174515,12
3174525,3174519,16
3174525,3174026,8.2
3174525,3174527,9.8
3174525,3174351,11.2
3174525,3174510,12.7
3174525,3174530,2.7
3174525,3174260,7.8
3174525,3174516,5.3
3174525,3174497,11
3174525,3174030,9.3
3174525,3174052,9
3174525,3174420,14
3174525,3174416,9.9
3174525,3174508,15.6
3174525,3174486,6.4
3174525,3174015,5.4
3174529,3174074,12.7
3174529,3174517,5.4
3174529,3174518,12.1
3174529,3174525,12.3
3174529,3174522,14.7
3174529,3174063,5.7
3174529,3174041,6.9
3174529,3174431,10.6
3174529,3174515,0.21
3174529,3174519,12.7
3174529,3174026,8.4
3174529,3174527,2.7
3174529,3174351,3.6
3174529,3174510,3.4
3174529,3174530,10.4
3174529,3174260,5.5
3174529,3174516,8.4
