kode,nama,Total beds,Emergency room (24 hours) ,ICU,Pulmonology,Cardiology,Neurology,Orthopedics,Obstetrics_gynecology,Pediatrics,Cath_lab,CT-Scan,Stroke Unit
3174074,RSUD Cengkareng,486,1,1,1,1,1,1,1,1,1,1,1
3174517,RSUD Kembangan,98,1,1,1,1,1,0,1,0,0,0,0
3174518,RSUD Kalideres,116,1,1,1,1,1,0,1,1,0,0,0
3174525,RSUD Taman Sari,54,1,1,0,0,0,0,1,1,0,0,0
3174529,RS Cendana,72,1,1,0,0,1,0,1,0,0,1,0
3174522,RS Ciputra Citragarden,200,1,1,1,1,1,1,1,1,0,1,1
3174063,RS Dharmais,350,1,1,1,1,1,1,0,0,0,1,0
3174041,RS dr. Soeharto Heerjan,280,1,1,0,0,1,0,0,0,0,0,0
3174431,RS Hermina Daan Mogot,311,1,1,0,0,1,1,1,0,0,1,1
3174515,RS Jakarta Eye Center Kedoya,25,1,0,0,0,0,0,0,1,0,0,0
3174519,RS Mitra Keluarga Kalideres,92,1,1,1,0,1,1,1,0,0,1,0
3174026,RS Pelni Petamburan,600,1,1,1,1,1,1,1,0,0,1,1
3174527,RS Pendidikan Ukrida,14,1,1,1,0,1,1,1,1,1,1,1
3174351,RS Siloam Kebon Jeruk,183,1,1,1,1,1,1,1,1,0,1,1
3174510,RS Anggrek Mas,50,1,1,0,0,0,0,1,0,0,0,0
3174530,RSIA Aries,21,1,0,0,0,0,0,1,0,0,0,0
3174260,RSIA Harapan Kita,258,1,1,0,1,1,1,1,0,0,0,0
3174516,RSIA Ibnu Sina,34,1,1,0,0,0,0,1,1,0,0,0
3174497,RSIA Metro Hospitals Kebon Jeruk,34,1,1,0,0,0,0,1,0,0,0,0
3174030,RSU Bhakti Mulia,206,1,1,0,0,1,1,1,0,0,0,1
3174052,RSU Graha Kedoya,224,1,1,1,1,1,1,1,1,1,1,1
3174420,RSU Medika Permata Hijau,102,1,1,1,0,1,1,1,1,0,1,1
3174416,RSU Patria Jakarta,100,1,1,1,1,0,1,0,0,0,0,0
3174508,RSU Puri Indah,200,1,1,1,1,1,1,1,1,1,1,1
3174486,RSU Royal Taruma,201,1,1,1,1,1,1,1,1,1,1,1
3174015,RSU Sumber Waras,206,1,1,1,1,1,1,1,1,1,1,0
